XYDATA,Memory-111,Memory-112,Memory-113,Memory-114,Memory-115,Memory-116,Memory-117,Memory-118,Memory-119,Memory-120,Memory-121,Memory-122,Memory-123
1000.0000,0,0,0,0,0,,,,,,,,
1001.0000,0,0,0,0,0,,,,,,,,
1002.0000,0,0,0,0,0,,,,,,,,
1003.0000,0,0,0,0,0,,,,,,,,
1004.0000,0,0,0,0,0,,,,,,,,
1005.0000,0,0,0,0,0,,,,,,,,
1006.0000,0,0,0,0,0,,,,,,,,
1007.0000,0.0150973,0.0263874,0.0976704,0.00427846,0.0123242,,,,,,,,
1008.0000,0.015143,0.0331301,0.102697,0.00796454,0.0142626,,,,,,,,
1009.0000,0.0141784,0.034481,0.101317,0.00574548,0.0106211,,,,,,,,
1010.0000,0.017177,0.0353688,0.101185,0.00805555,0.010107,,,,,,,,
1011.0000,0.0147858,0.0317524,0.0976508,0.00540216,0.0115885,,,,,,,,
1012.0000,0.0166554,0.0288974,0.0942034,0.00564575,0.0124532,,,,,,,,
1013.0000,0.0147385,0.0253127,0.0893108,0.00527736,0.0144377,,,,,,,,
1014.0000,0.00865187,0.0196103,0.0813304,0.000563485,0.0118822,,,,,,,,
1015.0000,0.0104166,0.0182179,0.077331,0.001588,0.0105292,,,,,,,,
1016.0000,0.00544698,0.0123427,0.0683169,-0.00180817,0.00911495,,,,,,,,
1017.0000,0.00270067,0.0118708,0.0633496,-0.00219073,0.0060963,,,,,,,,
1018.0000,0.00344481,0.0101585,0.0579687,-0.0017286,0.00519289,,,,,,,,
1019.0000,-0.0020256,0.00676509,0.0460935,-0.00726155,0.00118732,,,,,,,,
1020.0000,-0.00108174,0.00473785,0.0420881,-0.00487082,-0.00143092,,,,,,,,
1021.0000,-0.00439698,-0.00536128,0.0306538,-0.0103716,-0.00196293,,,,,,,,
1022.0000,-0.00604289,-0.0127994,0.0228179,-0.0147841,-0.00212683,,,,,,,,
1023.0000,-0.00665556,-0.0175193,0.0205727,-0.0100523,0.00210953,,,,,,,,
1024.0000,-0.0107096,-0.0202173,0.0155689,-0.0134217,-0.000273977,,,,,,,,
1025.0000,-0.00791454,-0.0155732,0.0158512,-0.00905936,-0.00131416,,,,,,,,
1026.0000,-0.00823457,-0.0114027,0.0165476,-0.0059324,-0.00402192,,,,,,,,
