XYDATA,Memory-124,Memory-125,Memory-126,Memory-127,Memory-128,Memory-129,Memory-130,Memory-131,Memory-132,Memory-133,Memory-134
1000.0000,,,,,,,,,0,,
1001.0000,,,,,,,,,0,,
1002.0000,,,,,,,,,0,,
1003.0000,,,,,,,,,0,,
1004.0000,,,,,,,,,0,,
1005.0000,,,,,,,,,0,,
1006.0000,,,,,,,,,0,,
1007.0000,,,,,,,,,0.0392047,,
1008.0000,,,,,,,,,0.0401491,,
1009.0000,,,,,,,,,0.0400474,,
1010.0000,,,,,,,,,0.041338,,
1011.0000,,,,,,,,,0.0426227,,
1012.0000,,,,,,,,,0.0431047,,
1013.0000,,,,,,,,,0.0415547,,
1014.0000,,,,,,,,,0.0382534,,
1015.0000,,,,,,,,,0.0370042,,
1016.0000,,,,,,,,,0.0359591,,
1017.0000,,,,,,,,,0.0379154,,
1018.0000,,,,,,,,,0.0384395,,
1019.0000,,,,,,,,,0.0348629,,
1020.0000,,,,,,,,,0.0350663,,
1021.0000,,,,,,,,,0.0294643,,
1022.0000,,,,,,,,,0.0274888,,
1023.0000,,,,,,,,,0.0278263,,
1024.0000,,,,,,,,,0.0264386,,
1025.0000,,,,,,,,,0.0271049,,
1026.0000,,,,,,,,,0.0276781,,
1027.0000,,,,,,,,,0.0282331,,
1028.0000,,,,,,,,,0.027797,,
1029.0000,,,,,,,,,0.0277683,,
1030.0000,,,,,,,,,0.0267859,,
1031.0000,,,,,,,,,0.024447,,
1032.0000,,,,,,,,,0.0219141,,
1033.0000,,,,,,,,,0.0210276,,
1034.0000,,,,,,,,,0.0187082,,
1035.0000,,,,,,,,,0.0189654,,
1036.0000,,,,,,,,,0.021398,,
1037.0000,,,,,,,,,0.0207255,,
1038.0000,,,,,,,,,0.0229225,,
1039.0000,,,,,,,,,0.0222146,,
1040.0000,,,,,,,,,0.0185768,,
1041.0000,,,,,,,,,0.0164304,,
1042.0000,,,,,,,,,0.0146408,,
1043.0000,,,,,,,,,0.0142828,,
1044.0000,,,,,,,,,0.0164992,,
1045.0000,,,,,,,,,0.017395,,
1046.0000,,,,,,,,,0.0175344,,
1047.0000,,,,,,,,,0.0188398,,
1048.0000,,,,,,,,,0.0191796,,
1049.0000,,,,,,,,,0.0189278,,
1050.0000,,,,,,,,,0.0161228,,
1051.0000,,,,,,,,,0.0133776,,
1052.0000,,,,,,,,,0.00994941,,
1053.0000,,,,,,,,,0.00818321,,
1054.0000,,,,,,,,,0.0118147,,
1055.0000,,,,,,,,,0.0126878,,
1056.0000,,,,,,,,,0.012748,,
1057.0000,,,,,,,,,0.0126433,,
1058.0000,,,,,,,,,0.00920527,,
1059.0000,,,,,,,,,0.00804261,,
1060.0000,,,,,,,,,0.00931971,,
1061.0000,,,,,,,,,0.00904628,,
1062.0000,,,,,,,,,0.00923552,,
1063.0000,,,,,,,,,0.00949083,,
1064.0000,,,,,,,,,0.0105991,,
1065.0000,,,,,,,,,0.0121375,,
1066.0000,,,,,,,,,0.014235,,
1067.0000,,,,,,,,,0.0161082,,
1068.0000,,,,,,,,,0.0132423,,
1069.0000,,,,,,,,,0.0132787,,
1070.0000,,,,,,,,,0.0142671,,
1071.0000,,,,,,,,,0.0136333,,
1072.0000,,,,,,,,,0.0147315,,
1073.0000,,,,,,,,,0.0145999,,
1074.0000,,,,,,,,,0.012575,,
1075.0000,,,,,,,,,0.0131749,,
1076.0000,,,,,,,,,0.0140784,,
1077.0000,,,,,,,,,0.0156531,,
1078.0000,,,,,,,,,0.0173675,,
1079.0000,,,,,,,,,0.0167013,,
1080.0000,,,,,,,,,0.0172721,,
1081.0000,,,,,,,,,0.0186452,,
1082.0000,,,,,,,,,0.0215818,,
1083.0000,,,,,,,,,0.0245684,,
1084.0000,,,,,,,,,0.0282132,,
1085.0000,,,,,,,,,0.0302,,
1086.0000,,,,,,,,,0.0319396,,
1087.0000,,,,,,,,,0.0342406,,
1088.0000,,,,,,,,,0.036506,,
1089.0000,,,,,,,,,0.0362073,,
1090.0000,,,,,,,,,0.0377413,,
1091.0000,,,,,,,,,0.037853,,
1092.0000,,,,,,,,,0.0373671,,
1093.0000,,,,,,,,,0.0419465,,
1094.0000,,,,,,,,,0.0445261,,
1095.0000,,,,,,,,,0.0461448,,
1096.0000,,,,,,,,,0.04889,,
1097.0000,,,,,,,,,0.0498991,,
1098.0000,,,,,,,,,0.0489033,,
1099.0000,,,,,,,,,0.0518457,,
1100.0000,0,0,0,0,0,0,0,0,0.0546464,0,0
1101.0000,0,0,0,0,0,0,0,0,0.0604274,0,0
1102.0000,0,0,0,0,0,0,0,0,0.066709,0,0
1103.0000,0,0,0,0,0,0,0,0,0.0751014,0,0
1104.0000,0,0,0,0,0,0,0,0,0.0819897,0,0
1105.0000,0,0,0,0,0,0,0,0,0.0881474,0,0
1106.0000,0,0,0,0,0,0,0,0,0.0953151,0,0
1107.0000,0.0946672,0.112365,0.0914516,0.0749217,0.0639684,0.0741313,0.237905,0.0484562,0.100948,0.0484562,0.237905
1108.0000,0.102508,0.119976,0.100209,0.0778539,0.0698575,0.082028,0.261065,0.05109,0.105922,0.05109,0.261065
1109.0000,0.107953,0.127518,0.105674,0.0828054,0.0750536,0.0868255,0.281724,0.0530652,0.11333,0.0530652,0.281724
1110.0000,0.114409,0.134801,0.113094,0.0888702,0.0802277,0.0921813,0.303462,0.0533112,0.123676,0.0533112,0.303462
1111.0000,0.123517,0.143977,0.121595,0.0945982,0.0843841,0.100482,0.327257,0.0580025,0.13417,0.0580025,0.327257
1112.0000,0.137318,0.158918,0.130629,0.103715,0.0919187,0.106925,0.354797,0.0631384,0.149388,0.0631384,0.354797
1113.0000,0.151285,0.173981,0.142105,0.113112,0.0975819,0.114455,0.389913,0.0643106,0.164744,0.0643106,0.389913
1114.0000,0.166683,0.193218,0.156189,0.124454,0.106881,0.127727,0.423641,0.0703177,0.179463,0.0703177,0.423641
1115.0000,0.182792,0.2114,0.171483,0.137009,0.117756,0.140556,0.466097,0.075889,0.195153,0.075889,0.466097
1116.0000,0.19952,0.229271,0.186426,0.148853,0.127789,0.150393,0.50364,0.0844408,0.214054,0.0844408,0.50364
1117.0000,0.219204,0.253784,0.20661,0.162137,0.143805,0.16657,0.543005,0.0952181,0.232512,0.0952181,0.543005
1118.0000,0.245752,0.282051,0.230936,0.179854,0.160537,0.184517,0.58755,0.104043,0.254374,0.104043,0.58755
1119.0000,0.269634,0.31303,0.255556,0.198195,0.178131,0.203449,0.634856,0.112552,0.278778,0.112552,0.634856
1120.0000,0.298422,0.348548,0.284984,0.22157,0.201453,0.229889,0.688515,0.123493,0.30429,0.123493,0.688515
1121.0000,0.33046,0.384381,0.314413,0.247012,0.22165,0.257201,0.748007,0.13761,0.333001,0.13761,0.748007
1122.0000,0.361537,0.421508,0.345869,0.270305,0.243741,0.282521,0.807386,0.15452,0.363721,0.15452,0.807386
1123.0000,0.399985,0.464772,0.384485,0.298155,0.26922,0.313235,0.869844,0.173714,0.395046,0.173714,0.869844
1124.0000,0.441166,0.509271,0.422123,0.327838,0.295666,0.344379,0.931256,0.191526,0.42366,0.191526,0.931256
1125.0000,0.480494,0.553583,0.462485,0.356571,0.324843,0.376104,0.992806,0.207291,0.453581,0.207291,0.992806
1126.0000,0.520717,0.596384,0.500174,0.388836,0.354085,0.409172,1.05297,0.224173,0.479087,0.224173,1.05297
1127.0000,0.558693,0.63754,0.537429,0.422846,0.384312,0.442081,1.1011,0.242365,0.502705,0.242365,1.1011
1128.0000,0.59077,0.676022,0.573442,0.452602,0.40898,0.472233,1.1429,0.262338,0.524397,0.262338,1.1429
1129.0000,0.621105,0.710362,0.60342,0.479949,0.431987,0.499081,1.17424,0.280718,0.540577,0.280718,1.17424
1130.0000,0.644627,0.737578,0.62786,0.49948,0.452743,0.521097,1.19606,0.294694,0.552792,0.294694,1.19606
1131.0000,0.654057,0.748608,0.638909,0.512022,0.463324,0.53552,1.2045,0.305009,0.560447,0.305009,1.2045
1132.0000,0.652705,0.746872,0.642773,0.513619,0.467976,0.54261,1.19916,0.311259,0.559304,0.311259,1.19916
1133.0000,0.640897,0.731562,0.633843,0.510553,0.465218,0.541458,1.17409,0.312496,0.552049,0.312496,1.17409
1134.0000,0.61436,0.703245,0.614896,0.496639,0.448767,0.528348,1.12899,0.309482,0.537117,0.309482,1.12899
1135.0000,0.578008,0.662687,0.584951,0.469799,0.428553,0.504671,1.06844,0.297312,0.508195,0.297312,1.06844
1136.0000,0.534879,0.610886,0.541505,0.441131,0.400734,0.472104,0.989455,0.277245,0.474845,0.277245,0.989455
1137.0000,0.475849,0.543585,0.487403,0.396187,0.363655,0.427034,0.891995,0.250688,0.430746,0.250688,0.891995
1138.0000,0.406322,0.462686,0.420095,0.342793,0.317329,0.372488,0.780343,0.21944,0.381724,0.21944,0.780343
1139.0000,0.326374,0.372828,0.344271,0.285142,0.262935,0.307527,0.652624,0.184128,0.327478,0.184128,0.652624
1140.0000,0.233791,0.272928,0.260441,0.21327,0.199689,0.232297,0.513594,0.14559,0.267956,0.14559,0.513594
1141.0000,0.135446,0.166596,0.169006,0.137762,0.129951,0.153158,0.369049,0.102734,0.202809,0.102734,0.369049
1142.0000,0.0407088,0.0576344,0.0753713,0.0625845,0.0655877,0.0722057,0.217757,0.0542205,0.133213,0.0542205,0.217757
1143.0000,-0.0587452,-0.0533731,-0.0220405,-0.0198639,-0.00688062,-0.012049,0.0671528,0.00799615,0.064308,0.00799615,0.0671528
1144.0000,-0.152038,-0.158804,-0.113137,-0.0926838,-0.0752708,-0.0870669,-0.0832792,-0.0398797,-0.00772646,-0.0398797,-0.0832792
1145.0000,-0.236737,-0.254996,-0.196511,-0.160511,-0.139968,-0.16235,-0.229446,-0.0830953,-0.0739897,-0.0830953,-0.229446
1146.0000,-0.31533,-0.342975,-0.276896,-0.225035,-0.202506,-0.232831,-0.364978,-0.12291,-0.137403,-0.12291,-0.364978
1147.0000,-0.377787,-0.415981,-0.337994,-0.276475,-0.251505,-0.288882,-0.489243,-0.157873,-0.197126,-0.157873,-0.489243
1148.0000,-0.429367,-0.475642,-0.393198,-0.324908,-0.291914,-0.341674,-0.595748,-0.186117,-0.244806,-0.186117,-0.595748
1149.0000,-0.467002,-0.518372,-0.432901,-0.35842,-0.321093,-0.377546,-0.682951,-0.208657,-0.285932,-0.208657,-0.682951
1150.0000,-0.496201,-0.546866,-0.456405,-0.382078,-0.343159,-0.403792,-0.751769,-0.222096,-0.318425,-0.222096,-0.751769
1151.0000,-0.509674,-0.559647,-0.472953,-0.394802,-0.356622,-0.420481,-0.800933,-0.230367,-0.340642,-0.230367,-0.800933
1152.0000,-0.512615,-0.560434,-0.474424,-0.396087,-0.360773,-0.422922,-0.829052,-0.232301,-0.35658,-0.232301,-0.829052
1153.0000,-0.504845,-0.552292,-0.466939,-0.391138,-0.358919,-0.417869,-0.839588,-0.225929,-0.364386,-0.225929,-0.839588
1154.0000,-0.484916,-0.532017,-0.449156,-0.376082,-0.345806,-0.403446,-0.82939,-0.219494,-0.361918,-0.219494,-0.82939
1155.0000,-0.457337,-0.503177,-0.422385,-0.353968,-0.325878,-0.382599,-0.804792,-0.206948,-0.353227,-0.206948,-0.804792
1156.0000,-0.424847,-0.46876,-0.389942,-0.327627,-0.306009,-0.358022,-0.767893,-0.192542,-0.336188,-0.192542,-0.767893
1157.0000,-0.386222,-0.427374,-0.352052,-0.295215,-0.275199,-0.32799,-0.724558,-0.177329,-0.315682,-0.177329,-0.724558
1158.0000,-0.345187,-0.383557,-0.315251,-0.262818,-0.247381,-0.295297,-0.673171,-0.155517,-0.294806,-0.155517,-0.673171
1159.0000,-0.301425,-0.338584,-0.275379,-0.228867,-0.216866,-0.25905,-0.613877,-0.135033,-0.271664,-0.135033,-0.613877
1160.0000,-0.26122,-0.291709,-0.235035,-0.194741,-0.185288,-0.223537,-0.554088,-0.111273,-0.249189,-0.111273,-0.554088
1161.0000,-0.226594,-0.250314,-0.202703,-0.167487,-0.160216,-0.19458,-0.489397,-0.0923309,-0.225427,-0.0923309,-0.489397
1162.0000,-0.191935,-0.212848,-0.168294,-0.1384,-0.135239,-0.164612,-0.429963,-0.0796577,-0.207718,-0.0796577,-0.429963
1163.0000,-0.164435,-0.18316,-0.144051,-0.117605,-0.115139,-0.141502,-0.376165,-0.0671103,-0.186971,-0.0671103,-0.376165
1164.0000,-0.138858,-0.158565,-0.12627,-0.0988304,-0.0962723,-0.122165,-0.327111,-0.0577499,-0.167942,-0.0577499,-0.327111
1165.0000,-0.115758,-0.138164,-0.107127,-0.0819623,-0.0821381,-0.101703,-0.284739,-0.0467298,-0.154823,-0.0467298,-0.284739
1166.0000,-0.0977282,-0.116811,-0.089004,-0.0677024,-0.0700414,-0.0868511,-0.246533,-0.0366767,-0.14228,-0.0366767,-0.246533
1167.0000,-0.0817601,-0.09835,-0.0758975,-0.0553513,-0.055851,-0.070879,-0.215781,-0.0320298,-0.13291,-0.0320298,-0.215781
1168.0000,-0.0663994,-0.0817391,-0.0615869,-0.043787,-0.0452933,-0.0556246,-0.190724,-0.0256748,-0.127354,-0.0256748,-0.190724
1169.0000,-0.0534128,-0.0671948,-0.0511295,-0.0342503,-0.0353236,-0.0433611,-0.165657,-0.021353,-0.11727,-0.021353,-0.165657
1170.0000,-0.0402993,-0.0543349,-0.0440001,-0.0253795,-0.0245274,-0.0299282,-0.1412,-0.0142999,-0.107512,-0.0142999,-0.1412
1171.0000,-0.0269388,-0.0386925,-0.0306958,-0.0152381,-0.0188781,-0.0172759,-0.113552,-0.00570488,-0.0977557,-0.00570488,-0.113552
1172.0000,-0.0123277,-0.0250448,-0.0182364,-0.00761223,-0.00858852,-0.007364,-0.086243,-0.000674111,-0.0838995,-0.000674111,-0.086243
1173.0000,0.000692368,-0.011443,-0.00785392,0.000370026,0.00248446,0.00191007,-0.0622471,0.00306402,-0.0726671,0.00306402,-0.0622471
1174.0000,0.0150354,0.00243814,0.00402723,0.00661005,0.0139269,0.0118425,-0.0346072,0.0045275,-0.0539385,0.0045275,-0.0346072
1175.0000,0.0281516,0.0159877,0.0153732,0.014843,0.0242391,0.0209146,-0.00343432,0.00806073,-0.0360554,0.00806073,-0.00343432
1176.0000,0.0406233,0.0324598,0.0284506,0.0256081,0.0341582,0.0326211,0.0314386,0.0116228,-0.0178566,0.0116228,0.0314386
1177.0000,0.056469,0.0512573,0.0444134,0.0374685,0.041366,0.0438358,0.0690662,0.0206146,0.00337029,0.0206146,0.0690662
1178.0000,0.0707921,0.0702485,0.061527,0.0503513,0.0492911,0.0569752,0.104935,0.0303571,0.0203935,0.0303571,0.104935
1179.0000,0.0856917,0.0902274,0.0762465,0.063821,0.0590665,0.0680515,0.138875,0.0351914,0.0417401,0.0351914,0.138875
1180.0000,0.101182,0.105142,0.0872102,0.0735869,0.06824,0.0796193,0.172835,0.043669,0.0606444,0.043669,0.172835
1181.0000,0.115503,0.125259,0.105652,0.0863492,0.0801798,0.09212,0.21029,0.0498529,0.0764702,0.0498529,0.21029
1182.0000,0.129642,0.13938,0.116707,0.0952873,0.0875446,0.100271,0.240896,0.0561281,0.0907153,0.0561281,0.240896
1183.0000,0.141608,0.1506,0.129438,0.102499,0.0954549,0.110265,0.270839,0.0647199,0.102962,0.0647199,0.270839
1184.0000,0.149405,0.164235,0.142901,0.108693,0.100941,0.115649,0.298312,0.068721,0.113985,0.068721,0.298312
1185.0000,0.157502,0.172307,0.147677,0.112806,0.105681,0.121535,0.317556,0.0720923,0.122087,0.0720923,0.317556
1186.0000,0.160698,0.182119,0.157628,0.117564,0.110964,0.126424,0.338,0.0725809,0.132485,0.0725809,0.338
1187.0000,0.162176,0.187918,0.163198,0.121268,0.112468,0.127654,0.352208,0.0750424,0.139,0.0750424,0.352208
1188.0000,0.166814,0.193484,0.168813,0.126933,0.113345,0.131163,0.363556,0.0786141,0.1398,0.0786141,0.363556
1189.0000,0.171139,0.198484,0.174935,0.13008,0.115883,0.134443,0.365685,0.0775419,0.142538,0.0775419,0.365685
1190.0000,0.171213,0.198601,0.17446,0.130677,0.114525,0.13494,0.367067,0.0822449,0.143253,0.0822449,0.367067
1191.0000,0.17274,0.201254,0.177622,0.13101,0.117775,0.138225,0.36646,0.0816806,0.14067,0.0816806,0.36646
1192.0000,0.171761,0.198521,0.177189,0.131751,0.11689,0.137934,0.361257,0.0798776,0.138994,0.0798776,0.361257
1193.0000,0.167423,0.191863,0.174731,0.130757,0.118102,0.135834,0.359195,0.084283,0.136965,0.084283,0.359195
1194.0000,0.173148,0.202388,0.178873,0.137734,0.134069,0.144546,0.357292,0.0911996,0.145208,0.0911996,0.357292
1195.0000,0.167751,0.194094,0.171783,0.129701,0.126939,0.138561,0.344951,0.0929835,0.143412,0.0929835,0.344951
1196.0000,0.159897,0.187809,0.165951,0.126751,0.123699,0.13562,0.333708,0.0926879,0.141695,0.0926879,0.333708
1197.0000,0.151854,0.182403,0.159948,0.124043,0.118585,0.128094,0.317846,0.0879538,0.13594,0.0879538,0.317846
1198.0000,0.143962,0.172132,0.151996,0.118904,0.112885,0.122818,0.298276,0.0869304,0.128068,0.0869304,0.298276
1199.0000,0.134947,0.161353,0.145228,0.114344,0.108204,0.11681,0.280263,0.0808313,0.122712,0.0808313,0.280263
1200.0000,0.125825,0.145703,0.132721,0.107713,0.100353,0.109954,0.254459,0.0751416,0.111346,0.0751416,0.254459
1201.0000,0.114679,0.130551,0.11978,0.0964001,0.0908669,0.104503,0.232588,0.0690297,0.098687,0.0690297,0.232588
1202.0000,0.098869,0.111205,0.103387,0.0863438,0.0821473,0.0933492,0.204156,0.0596403,0.086612,0.0596403,0.204156
1203.0000,0.0801675,0.0912348,0.0865299,0.0760509,0.0698024,0.0817819,0.175689,0.0546063,0.0715941,0.0546063,0.175689
1204.0000,0.0630324,0.0723885,0.0698632,0.0629744,0.0593703,0.0681188,0.14292,0.0470358,0.0579801,0.0470358,0.14292
1205.0000,0.0385568,0.0448739,0.0491281,0.0495537,0.0461911,0.0496731,0.100886,0.0385622,0.044775,0.0385622,0.100886
1206.0000,0.0197996,0.024256,0.0296563,0.0308835,0.0325601,0.0332726,0.0637035,0.0315554,0.0310492,0.0315554,0.0637035
1207.0000,0.00132098,0.00359208,0.00920786,0.0144986,0.0184492,0.0169599,0.0197694,0.0204231,0.00991249,0.0204231,0.0197694
1208.0000,-0.0272214,-0.0341083,-0.0156174,-0.0095005,-0.0103239,-0.0107564,-0.0318383,0.00150572,-0.0204299,0.00150572,-0.0318383
1209.0000,-0.0424222,-0.056181,-0.0342685,-0.022334,-0.0220258,-0.0252023,-0.072752,-0.00878361,-0.0417892,-0.00878361,-0.072752
1210.0000,-0.0613243,-0.0801746,-0.0538295,-0.0372066,-0.0356661,-0.039266,-0.115754,-0.0195757,-0.0613999,-0.0195757,-0.115754
1211.0000,-0.0767871,-0.102528,-0.0717365,-0.0531461,-0.0476052,-0.0519322,-0.158408,-0.0300236,-0.0781245,-0.0300236,-0.158408
1212.0000,-0.0928696,-0.120834,-0.0898985,-0.0667024,-0.060164,-0.0639627,-0.199318,-0.0402775,-0.0950425,-0.0402775,-0.199318
1213.0000,-0.108439,-0.136636,-0.106051,-0.0752833,-0.0710659,-0.0760487,-0.240515,-0.0467747,-0.110994,-0.0467747,-0.240515
1214.0000,-0.124787,-0.14702,-0.119155,-0.0851214,-0.0800141,-0.0884029,-0.27825,-0.0506494,-0.127694,-0.0506494,-0.27825
1215.0000,-0.137514,-0.158148,-0.131646,-0.0938012,-0.0875353,-0.100224,-0.313723,-0.0539889,-0.137784,-0.0539889,-0.313723
1216.0000,-0.149293,-0.170281,-0.145108,-0.104179,-0.0953699,-0.110919,-0.341818,-0.057166,-0.150901,-0.057166,-0.341818
1217.0000,-0.157658,-0.181214,-0.157921,-0.11592,-0.101722,-0.119969,-0.369465,-0.0614368,-0.160482,-0.0614368,-0.369465
1218.0000,-0.162686,-0.191563,-0.164954,-0.120264,-0.106677,-0.126325,-0.392953,-0.0642204,-0.169903,-0.0642204,-0.392953
1219.0000,-0.165804,-0.193707,-0.171678,-0.121862,-0.109647,-0.125792,-0.411495,-0.0660016,-0.181428,-0.0660016,-0.411495
1220.0000,-0.164175,-0.193172,-0.16855,-0.116595,-0.107733,-0.122708,-0.42986,-0.0685441,-0.188148,-0.0685441,-0.42986
1221.0000,-0.163723,-0.194042,-0.168519,-0.114143,-0.107073,-0.122181,-0.439212,-0.0690141,-0.190343,-0.0690141,-0.439212
1222.0000,-0.158893,-0.190353,-0.167664,-0.113964,-0.105659,-0.117933,-0.445233,-0.0705994,-0.190953,-0.0705994,-0.445233
1223.0000,-0.154661,-0.186815,-0.165077,-0.108019,-0.105996,-0.117464,-0.451677,-0.0674471,-0.188067,-0.0674471,-0.451677
