XYDATA,Memory-94,Memory-108,Memory-119
1000.0000,0,,
1001.0000,0,,
1002.0000,0,,
1003.0000,0,,
1004.0000,0,,
1005.0000,0,,
1006.0000,0,,
1007.0000,0.0392047,,
1008.0000,0.0401491,,
1009.0000,0.0400474,,
1010.0000,0.041338,,
1011.0000,0.0426227,,
1012.0000,0.0431047,,
1013.0000,0.0415547,,
1014.0000,0.0382534,,
1015.0000,0.0370042,,
1016.0000,0.0359591,,
1017.0000,0.0379154,,
1018.0000,0.0384395,,
1019.0000,0.0348629,,
1020.0000,0.0350663,,
1021.0000,0.0294643,,
1022.0000,0.0274888,,
1023.0000,0.0278263,,
1024.0000,0.0264386,,
1025.0000,0.0271049,,
1026.0000,0.0276781,,
1027.0000,0.0282331,,
1028.0000,0.027797,,
1029.0000,0.0277683,,
1030.0000,0.0267859,,
1031.0000,0.024447,,
1032.0000,0.0219141,,
1033.0000,0.0210276,,
1034.0000,0.0187082,,
1035.0000,0.0189654,,
1036.0000,0.021398,,
1037.0000,0.0207255,,
1038.0000,0.0229225,,
1039.0000,0.0222146,,
1040.0000,0.0185768,,
1041.0000,0.0164304,,
1042.0000,0.0146408,,
1043.0000,0.0142828,,
1044.0000,0.0164992,,
1045.0000,0.017395,,
1046.0000,0.0175344,,
1047.0000,0.0188398,,
1048.0000,0.0191796,,
1049.0000,0.0189278,,
1050.0000,0.0161228,,
1051.0000,0.0133776,,
1052.0000,0.00994941,,
1053.0000,0.00818321,,
1054.0000,0.0118147,,
1055.0000,0.0126878,,
1056.0000,0.012748,,
1057.0000,0.0126433,,
1058.0000,0.00920527,,
1059.0000,0.00804261,,
1060.0000,0.00931971,,
1061.0000,0.00904628,,
1062.0000,0.00923552,,
1063.0000,0.00949083,,
1064.0000,0.0105991,,
1065.0000,0.0121375,,
1066.0000,0.014235,,
1067.0000,0.0161082,,
1068.0000,0.0132423,,
1069.0000,0.0132787,,
1070.0000,0.0142671,,
1071.0000,0.0136333,,
1072.0000,0.0147315,,
1073.0000,0.0145999,,
1074.0000,0.012575,,
1075.0000,0.0131749,,
1076.0000,0.0140784,,
1077.0000,0.0156531,,
1078.0000,0.0173675,,
1079.0000,0.0167013,,
1080.0000,0.0172721,,
1081.0000,0.0186452,,
1082.0000,0.0215818,,
1083.0000,0.0245684,,
1084.0000,0.0282132,,
1085.0000,0.0302,,
1086.0000,0.0319396,,
1087.0000,0.0342406,,
1088.0000,0.036506,,
1089.0000,0.0362073,,
1090.0000,0.0377413,,
1091.0000,0.037853,,
1092.0000,0.0373671,,
1093.0000,0.0419465,,
1094.0000,0.0445261,,
1095.0000,0.0461448,,
1096.0000,0.04889,,
1097.0000,0.0498991,,
1098.0000,0.0489033,,
1099.0000,0.0518457,,
1100.0000,0.0546464,0,0
1101.0000,0.0604274,0,0
1102.0000,0.066709,0,0
1103.0000,0.0751014,0,0
1104.0000,0.0819897,0,0
1105.0000,0.0881474,0,0
1106.0000,0.0953151,0,0
1107.0000,0.100948,0.0484562,0.237905
1108.0000,0.105922,0.05109,0.261065
1109.0000,0.11333,0.0530652,0.281724
1110.0000,0.123676,0.0533112,0.303462
1111.0000,0.13417,0.0580025,0.327257
1112.0000,0.149388,0.0631384,0.354797
1113.0000,0.164744,0.0643106,0.389913
1114.0000,0.179463,0.0703177,0.423641
1115.0000,0.195153,0.075889,0.466097
1116.0000,0.214054,0.0844408,0.50364
1117.0000,0.232512,0.0952181,0.543005
1118.0000,0.254374,0.104043,0.58755
1119.0000,0.278778,0.112552,0.634856
1120.0000,0.30429,0.123493,0.688515
1121.0000,0.333001,0.13761,0.748007
1122.0000,0.363721,0.15452,0.807386
1123.0000,0.395046,0.173714,0.869844
1124.0000,0.42366,0.191526,0.931256
1125.0000,0.453581,0.207291,0.992806
1126.0000,0.479087,0.224173,1.05297
1127.0000,0.502705,0.242365,1.1011
1128.0000,0.524397,0.262338,1.1429
1129.0000,0.540577,0.280718,1.17424
1130.0000,0.552792,0.294694,1.19606
1131.0000,0.560447,0.305009,1.2045
1132.0000,0.559304,0.311259,1.19916
1133.0000,0.552049,0.312496,1.17409
1134.0000,0.537117,0.309482,1.12899
1135.0000,0.508195,0.297312,1.06844
1136.0000,0.474845,0.277245,0.989455
1137.0000,0.430746,0.250688,0.891995
1138.0000,0.381724,0.21944,0.780343
1139.0000,0.327478,0.184128,0.652624
1140.0000,0.267956,0.14559,0.513594
1141.0000,0.202809,0.102734,0.369049
1142.0000,0.133213,0.0542205,0.217757
1143.0000,0.064308,0.00799615,0.0671528
1144.0000,-0.00772646,-0.0398797,-0.0832792
1145.0000,-0.0739897,-0.0830953,-0.229446
1146.0000,-0.137403,-0.12291,-0.364978
1147.0000,-0.197126,-0.157873,-0.489243
1148.0000,-0.244806,-0.186117,-0.595748
1149.0000,-0.285932,-0.208657,-0.682951
1150.0000,-0.318425,-0.222096,-0.751769
1151.0000,-0.340642,-0.230367,-0.800933
1152.0000,-0.35658,-0.232301,-0.829052
1153.0000,-0.364386,-0.225929,-0.839588
1154.0000,-0.361918,-0.219494,-0.82939
1155.0000,-0.353227,-0.206948,-0.804792
1156.0000,-0.336188,-0.192542,-0.767893
1157.0000,-0.315682,-0.177329,-0.724558
1158.0000,-0.294806,-0.155517,-0.673171
1159.0000,-0.271664,-0.135033,-0.613877
1160.0000,-0.249189,-0.111273,-0.554088
1161.0000,-0.225427,-0.0923309,-0.489397
1162.0000,-0.207718,-0.0796577,-0.429963
1163.0000,-0.186971,-0.0671103,-0.376165
1164.0000,-0.167942,-0.0577499,-0.327111
1165.0000,-0.154823,-0.0467298,-0.284739
1166.0000,-0.14228,-0.0366767,-0.246533
1167.0000,-0.13291,-0.0320298,-0.215781
1168.0000,-0.127354,-0.0256748,-0.190724
1169.0000,-0.11727,-0.021353,-0.165657
1170.0000,-0.107512,-0.0142999,-0.1412
1171.0000,-0.0977557,-0.00570488,-0.113552
1172.0000,-0.0838995,-0.000674111,-0.086243
1173.0000,-0.0726671,0.00306402,-0.0622471
1174.0000,-0.0539385,0.0045275,-0.0346072
1175.0000,-0.0360554,0.00806073,-0.00343432
1176.0000,-0.0178566,0.0116228,0.0314386
1177.0000,0.00337029,0.0206146,0.0690662
1178.0000,0.0203935,0.0303571,0.104935
1179.0000,0.0417401,0.0351914,0.138875
1180.0000,0.0606444,0.043669,0.172835
1181.0000,0.0764702,0.0498529,0.21029
1182.0000,0.0907153,0.0561281,0.240896
1183.0000,0.102962,0.0647199,0.270839
1184.0000,0.113985,0.068721,0.298312
1185.0000,0.122087,0.0720923,0.317556
1186.0000,0.132485,0.0725809,0.338
1187.0000,0.139,0.0750424,0.352208
1188.0000,0.1398,0.0786141,0.363556
1189.0000,0.142538,0.0775419,0.365685
1190.0000,0.143253,0.0822449,0.367067
1191.0000,0.14067,0.0816806,0.36646
1192.0000,0.138994,0.0798776,0.361257
1193.0000,0.136965,0.084283,0.359195
1194.0000,0.145208,0.0911996,0.357292
1195.0000,0.143412,0.0929835,0.344951
1196.0000,0.141695,0.0926879,0.333708
1197.0000,0.13594,0.0879538,0.317846
1198.0000,0.128068,0.0869304,0.298276
1199.0000,0.122712,0.0808313,0.280263
1200.0000,0.111346,0.0751416,0.254459
1201.0000,0.098687,0.0690297,0.232588
1202.0000,0.086612,0.0596403,0.204156
1203.0000,0.0715941,0.0546063,0.175689
1204.0000,0.0579801,0.0470358,0.14292
1205.0000,0.044775,0.0385622,0.100886
1206.0000,0.0310492,0.0315554,0.0637035
1207.0000,0.00991249,0.0204231,0.0197694
1208.0000,-0.0204299,0.00150572,-0.0318383
1209.0000,-0.0417892,-0.00878361,-0.072752
1210.0000,-0.0613999,-0.0195757,-0.115754
1211.0000,-0.0781245,-0.0300236,-0.158408
1212.0000,-0.0950425,-0.0402775,-0.199318
1213.0000,-0.110994,-0.0467747,-0.240515
1214.0000,-0.127694,-0.0506494,-0.27825
1215.0000,-0.137784,-0.0539889,-0.313723
1216.0000,-0.150901,-0.057166,-0.341818
1217.0000,-0.160482,-0.0614368,-0.369465
1218.0000,-0.169903,-0.0642204,-0.392953
1219.0000,-0.181428,-0.0660016,-0.411495
1220.0000,-0.188148,-0.0685441,-0.42986
1221.0000,-0.190343,-0.0690141,-0.439212
1222.0000,-0.190953,-0.0705994,-0.445233
1223.0000,-0.188067,-0.0674471,-0.451677
1224.0000,-0.184803,-0.0633041,-0.450746
1225.0000,-0.183711,-0.0583117,-0.451132
1226.0000,-0.180009,-0.0542504,-0.446791
1227.0000,-0.175681,-0.0544237,-0.436672
1228.0000,-0.169637,-0.0528581,-0.425029
1229.0000,-0.165383,-0.0524409,-0.411231
1230.0000,-0.158614,-0.0485992,-0.400973
1231.0000,-0.153685,-0.0439268,-0.385612
1232.0000,-0.146277,-0.0401442,-0.377389
1233.0000,-0.133088,-0.0335789,-0.362792
1234.0000,-0.126223,-0.0302119,-0.342575
1235.0000,-0.117884,-0.0252258,-0.329758
1236.0000,-0.112754,-0.0197689,-0.310323
1237.0000,-0.11057,-0.0201778,-0.291473
1238.0000,-0.106058,-0.0176803,-0.277296
1239.0000,-0.0993741,-0.0170776,-0.259177
1240.0000,-0.0905164,-0.0153751,-0.242612
1241.0000,-0.0860058,-0.0125089,-0.230133
1242.0000,-0.0760666,-0.00968715,-0.216398
1243.0000,-0.0729331,-0.00725201,-0.206967
1244.0000,-0.0680274,-0.00496347,-0.193172
1245.0000,-0.0613593,-0.00130272,-0.181593
1246.0000,-0.0588143,-0.000412532,-0.170802
1247.0000,-0.0564149,-0.00159482,-0.158325
1248.0000,-0.0557506,-0.00187928,-0.15142
1249.0000,-0.0523143,-0.00277928,-0.143171
1250.0000,-0.0472994,-0.00356974,-0.134451
1251.0000,-0.0401208,-0.0043463,-0.126721
1252.0000,-0.0341155,-0.00353132,-0.120137
1253.0000,-0.0313632,-0.00247192,-0.110046
1254.0000,-0.0334564,-0.00209836,-0.104615
1255.0000,-0.0328519,0.00241334,-0.0971391
1256.0000,-0.0351842,0.00279345,-0.0930939
1257.0000,-0.0353166,0.00411688,-0.0913484
1258.0000,-0.0312553,0.00626046,-0.0865135
1259.0000,-0.0299251,0.00702367,-0.0852928
1260.0000,-0.0246256,0.00856481,-0.0734378
1261.0000,-0.0228033,0.0102128,-0.0670613
1262.0000,-0.0203315,0.0121809,-0.0636989
1263.0000,-0.0196941,0.0121147,-0.055639
1264.0000,-0.0204465,0.0125256,-0.0544139
1265.0000,-0.0180657,0.0150956,-0.0509507
1266.0000,-0.0188894,0.0144193,-0.0468052
1267.0000,-0.0188592,0.0163468,-0.0447993
1268.0000,-0.0168464,0.0172566,-0.0421982
1269.0000,-0.0151386,0.0143809,-0.03976
1270.0000,-0.0116309,0.0132021,-0.034529
1271.0000,-0.00335285,0.0136969,-0.0270451
1272.0000,-0.000186784,0.013082,-0.0207759
1273.0000,0.00274304,0.0125768,-0.0132839
1274.0000,0.00102479,0.0132013,-0.0103509
1275.0000,-0.00020613,0.0115013,-0.0110245
1276.0000,0.00135762,0.00949778,-0.00636292
1277.0000,0.00238255,0.0118542,-0.0066561
1278.0000,0.0047681,0.0141713,-0.000987462
1279.0000,0.00695814,0.0156354,0.000788007
1280.0000,0.00944369,0.0188258,0.00652858
1281.0000,0.0127551,0.0186618,0.0147591
1282.0000,0.0176099,0.0194035,0.0215084
1283.0000,0.0178879,0.0227113,0.0292309
1284.0000,0.0154491,0.024941,0.0361813
1285.0000,0.0142224,0.02525,0.0422598
1286.0000,0.0148404,0.0249963,0.0468843
1287.0000,0.0189313,0.0232026,0.0546477
1288.0000,0.0250564,0.02391,0.0587943
1289.0000,0.0263959,0.0254111,0.0650106
1290.0000,0.0278021,0.0285102,0.0725109
1291.0000,0.0264458,0.0284991,0.0815146
1292.0000,0.0283963,0.0291184,0.0810901
1293.0000,0.0285571,0.0284767,0.0837789
1294.0000,0.0276398,0.0253122,0.0780274
1295.0000,0.0269705,0.0246026,0.0689795
1296.0000,0.0242289,0.0218389,0.0641403
1297.0000,0.0243605,0.0193866,0.0572946
1298.0000,0.0264819,0.0216051,0.0520237
1299.0000,0.0254609,0.0207792,0.047214
1300.0000,0.0211721,0.0193866,0.0405421
1301.0000,0.0152851,0.0212269,0.0318669
1302.0000,0.0103817,0.0172212,0.0253623
1303.0000,0.00755242,0.0173266,0.0203885
1304.0000,0.00744956,0.0164866,0.0174076
1305.0000,0.0125723,0.0159027,0.0160882
1306.0000,0.0121008,0.0156114,0.0228222
1307.0000,0.0151958,0.0166569,0.028716
1308.0000,0.0162073,0.0211833,0.0370919
1309.0000,0.0187133,0.0219323,0.0482745
1310.0000,0.0211498,0.0239868,0.0600095
1311.0000,0.0244034,0.0253612,0.0695027
1312.0000,0.0280462,0.0230999,0.0787931
1313.0000,0.028782,0.0251928,0.0847146
1314.0000,0.0342711,0.028811,0.0881081
1315.0000,0.0390392,0.0292617,0.0939522
1316.0000,0.0403822,0.0312713,0.103109
1317.0000,0.0443399,0.0303486,0.112214
1318.0000,0.046378,0.0298694,0.115703
1319.0000,0.0430799,0.0272961,0.118496
1320.0000,0.045569,0.0264955,0.116071
1321.0000,0.0436878,0.0287168,0.110204
1322.0000,0.0423843,0.0279566,0.109719
1323.0000,0.0417772,0.0312129,0.103558
1324.0000,0.0426258,0.0335091,0.0973358
1325.0000,0.0417201,0.0337083,0.0945579
1326.0000,0.0433474,0.0333925,0.0922179
1327.0000,0.043698,0.031011,0.0950655
1328.0000,0.0449865,0.0289451,0.102329
1329.0000,0.0432984,0.0270748,0.111594
1330.0000,0.0412542,0.0275478,0.115756
1331.0000,0.0443532,0.0277961,0.119727
1332.0000,0.0408555,0.0301465,0.122197
1333.0000,0.0477234,0.033117,0.126099
1334.0000,0.0516524,0.0352516,0.1332
1335.0000,0.0542015,0.0366802,0.148308
1336.0000,0.060121,0.0336933,0.158088
1337.0000,0.0621262,0.0299119,0.164035
1338.0000,0.0593249,0.0316516,0.16457
1339.0000,0.0565805,0.0299124,0.160906
1340.0000,0.0518676,0.032059,0.15961
1341.0000,0.0505735,0.0352949,0.154581
1342.0000,0.0453829,0.0322415,0.144866
1343.0000,0.0452186,0.0323524,0.130561
1344.0000,0.0462106,0.0312432,0.114205
1345.0000,0.0385242,0.0281813,0.100927
1346.0000,0.0407494,0.0210778,0.0920522
1347.0000,0.0348516,0.0188947,0.0787531
1348.0000,0.0264823,0.0180917,0.068564
1349.0000,0.022496,0.0158809,0.0537736
1350.0000,0.0169424,0.020947,0.0473396
1351.0000,0.0121465,0.0251571,0.0461916
1352.0000,0.0156069,0.0187716,0.0529224
1353.0000,0.0204915,0.019377,0.0654755
1354.0000,0.0248916,0.0210394,0.0777623
1355.0000,0.0348291,0.0208111,0.0993601
1356.0000,0.0422716,0.0306151,0.121894
1357.0000,0.0492074,0.0360037,0.1474
1358.0000,0.0604338,0.0369132,0.176585
1359.0000,0.0725159,0.0432524,0.202139
1360.0000,0.0836244,0.0505668,0.226339
1361.0000,0.0922779,0.0556848,0.25363
1362.0000,0.104941,0.0626319,0.27804
1363.0000,0.109904,0.0641177,0.304623
1364.0000,0.117324,0.0639024,0.327947
1365.0000,0.131695,0.0649875,0.348502
1366.0000,0.136092,0.0700103,0.362705
1367.0000,0.144816,0.0731621,0.370831
1368.0000,0.146938,0.0703893,0.374556
1369.0000,0.144682,0.0714231,0.371128
1370.0000,0.147387,0.0639011,0.369157
1371.0000,0.146623,0.0663286,0.3656
1372.0000,0.144861,0.0712746,0.362413
1373.0000,0.143697,0.0722446,0.360484
1374.0000,0.136005,0.0793076,0.358215
1375.0000,0.131627,0.0769408,0.353864
1376.0000,0.123473,0.0726201,0.346732
1377.0000,0.118757,0.0720602,0.339717
1378.0000,0.11794,0.0683084,0.332739
1379.0000,0.109556,0.0678626,0.32718
1380.0000,0.113174,0.069403,0.320445
1381.0000,0.109159,0.0694479,0.313476
1382.0000,0.103955,0.0686929,0.304535
1383.0000,0.0992106,0.0635477,0.290443
1384.0000,0.0888429,0.0645591,0.278631
1385.0000,0.0838432,0.0597166,0.267327
1386.0000,0.078595,0.0603403,0.248168
1387.0000,0.0767859,0.0580442,0.23253
1388.0000,0.0744393,0.0484761,0.211951
1389.0000,0.0675741,0.0470701,0.18822
1390.0000,0.0632166,0.0418224,0.170102
1391.0000,0.0622319,0.0417524,0.148859
1392.0000,0.0587536,0.0435576,0.123391
1393.0000,0.0547702,0.039262,0.101625
1394.0000,0.0475261,0.033035,0.0906342
1395.0000,0.0395268,0.0255489,0.0846165
1396.0000,0.0435365,0.0248675,0.083859
1397.0000,0.0451055,0.0290067,0.0906794
1398.0000,0.050331,0.0341993,0.0918121
1399.0000,0.0558789,0.0420317,0.0976159
1400.0000,0.0519714,0.041184,0.108933
1401.0000,0.0554278,0.0404219,0.121173
1402.0000,0.0563239,0.0429276,0.129773
1403.0000,0.0629345,0.0409431,0.13853
1404.0000,0.0702389,0.0440292,0.143888
1405.0000,0.0685395,0.0438905,0.142475
1406.0000,0.0638411,0.041308,0.144827
1407.0000,0.0579902,0.0400824,0.1384
1408.0000,0.0461412,0.0434734,0.127534
1409.0000,0.0397325,0.0456897,0.11183
1410.0000,0.0346771,0.0432608,0.0926574
1411.0000,0.0251378,0.0430279,0.0718716
1412.0000,0.0128878,0.033096,0.0489924
1413.0000,0.00579943,0.0229083,0.0216563
1414.0000,-0.00141934,0.0181808,-0.000635692
1415.0000,-0.0134251,0.0110659,-0.0316154
1416.0000,-0.0150976,0.00503785,-0.046724
1417.0000,-0.02558,0.00839833,-0.0588384
1418.0000,-0.0320148,0.0048008,-0.0668046
1419.0000,-0.0318959,0.00464548,-0.0640112
1420.0000,-0.0277807,0.00538717,-0.0633526
1421.0000,-0.0257548,-0.00121634,-0.054218
1422.0000,-0.0248138,-0.0028286,-0.050087
1423.0000,-0.0164847,-0.00312642,-0.0477159
1424.0000,-0.0217272,0.00109564,-0.0415543
1425.0000,-0.0165408,-5.74929E-005,-0.0415579
1426.0000,-0.00937939,0.00473676,-0.0378467
1427.0000,-0.0188428,0.00400761,-0.0239716
1428.0000,-0.015569,0.00616046,-0.0271857
1429.0000,-0.0139711,0.00671087,-0.0177702
1430.0000,-0.0186311,0.00844356,-0.0206067
1431.0000,-0.0119044,0.00489017,-0.0248498
1432.0000,-0.0132213,-0.00136648,-0.0297699
1433.0000,-0.0238379,-0.00141062,-0.0427717
1434.0000,-0.0269549,-0.00312996,-0.0519853
1435.0000,-0.0356084,0.00496674,-0.0649008
1436.0000,-0.0346221,0.00781304,-0.0741975
1437.0000,-0.0417678,0.0066561,-0.0770343
1438.0000,-0.0467264,0.00066512,-0.0820623
1439.0000,-0.0490559,-0.000654221,-0.0924181
1440.0000,-0.0501029,-0.00587709,-0.0944751
1441.0000,-0.0418861,-0.00650706,-0.115233
1442.0000,-0.0405914,-0.0117942,-0.119672
1443.0000,-0.0406885,-0.0133531,-0.120661
1444.0000,-0.0464937,-0.0119321,-0.128
1445.0000,-0.0539296,-0.00789288,-0.118592
1446.0000,-0.060264,0.00471578,-0.119897
1447.0000,-0.0565089,-0.00162397,-0.12375
1448.0000,-0.0623518,-0.00593621,-0.124389
1449.0000,-0.0528213,-0.0122163,-0.13117
1450.0000,-0.043473,-0.0186986,-0.13228
1451.0000,-0.0402852,-0.0135517,-0.12937
1452.0000,-0.0349201,-0.00983729,-0.128294
1453.0000,-0.0367406,-0.0100708,-0.119425
1454.0000,-0.0436324,-0.00789615,-0.112267
1455.0000,-0.0450757,-0.00373459,-0.102222
1456.0000,-0.0418467,0.00166784,-0.0902342
1457.0000,-0.039263,0.0104806,-0.08108
1458.0000,-0.0304249,0.0144784,-0.0716354
1459.0000,-0.026948,0.00872231,-0.0720468
1460.0000,-0.0221431,0.00632422,-0.064997
1461.0000,-0.0216782,0.00745664,-0.061255
1462.0000,-0.0191367,0.003488,-0.0594809
1463.0000,-0.017736,0.00944574,-0.0472979
1464.0000,-0.0241845,0.00965963,-0.0486434
1465.0000,-0.0184494,0.0067719,-0.0478518
1466.0000,-0.0168325,0.0114613,-0.0462862
1467.0000,-0.0226586,0.00814247,-0.0455965
1468.0000,-0.0156382,0.00860814,-0.042787
1469.0000,-0.0209776,0.00734275,-0.0483319
1470.0000,-0.0186383,0.00675038,-0.0501251
1471.0000,-0.0136198,0.00674111,-0.0580052
1472.0000,-0.0176131,0.00746264,-0.0606191
1473.0000,-0.0183104,0.00765283,-0.0520466
1474.0000,-0.019228,0.00157302,-0.0556586
1475.0000,-0.0206266,0.00454984,-0.0440461
1476.0000,-0.018906,0.00864928,-0.0403178
1477.0000,-0.0186686,0.0139934,-0.04506
1478.0000,-0.0224866,0.014286,-0.0367434
1479.0000,-0.0267018,0.0132384,-0.0475439
1480.0000,-0.0274173,0.012107,-0.0459061
1481.0000,-0.0169563,0.0137765,-0.0385543
1482.0000,-0.0191396,0.0167234,-0.0436126
